confidence,validation
0.9994556,1
0.9067336,1
0.9965143,1
0.9867773,1
0.995255,1
0.9914519,1
0.9896475,1
0.9843011,1
0.7629868,1
0.9990793,1
0.99169517,1
0.97012925,1
0.9985484,1
0.9617211,1
0.9994104,1
0.99409175,1
0.98878264,1
0.9836612,1
0.83040905,1
0.99965286,1
0.23184323,0
0.9809408,1
0.9992509,1
0.99936736,1
0.99904215,1
0.99929917,1
0.9994006,1
0.9893007,1
0.9691391,1
0.9995971,1
0.95592415,1
0.99856406,1
0.99795336,1
0.98396635,1
0.9418745,1
0.9984021,1
0.99948275,1
0.9978719,1
0.992523,1
0.9987202,1
0.9897765,1
0.9814811,1
0.99349254,1
0.9793756,1
0.9968517,1
0.99512875,1
0.99608994,1
0.98608375,1
0.9975992,1
0.963476,1
0.9985056,1
0.9880192,1
0.9969381,1
0.99579465,1
0.9992815,1
0.9910531,1
0.91548014,1
0.99977404,1
0.99554867,1
0.9992166,1
0.9948192,1
0.96099925,1
0.9116843,1
0.99299717,1
0.9977899,1
0.999725,1
0.93710494,1
0.98373413,1
0.99902713,1
0.99707294,1
0.99961066,1
0.99508476,1
0.76257974,1
0.9992787,1
0.98406565,1
0.9991487,1
0.9995904,1
0.9180626,1
0.9795339,1
0.999063,1
0.30431545,1
0.99613786,1
0.9996826,1
0.9945823,1
0.99937,1
0.9997447,1
0.998791,1
0.99918664,1
0.9981855,1
0.9993119,1
0.99959224,1
0.98730683,1
0.9986173,1
0.99890876,1
0.9991277,1
0.99964947,1
0.99956924,1
0.99839133,1
0.9164262,1
0.96426487,1
0.99958026,1
0.99666977,1
0.99938637,1
0.99893546,1
0.9958966,1
0.98672837,1
0.9994828,1
0.998563,1
0.99929106,1
0.9908288,1
0.99459875,1
0.9665406,1
0.9539889,1
0.99890745,1
0.9015837,1
0.56354415,1
0.9516997,1
0.681735,1
0.99110216,1
0.98102224,1
0.9939791,1
0.44972003,1
0.9993086,1
0.9970806,1
0.9975598,1
0.9964299,1
0.9979296,1
0.97969407,1
0.9960745,1
0.9993262,1
0.9991245,1
0.99973446,1
0.9471102,1
0.9833698,1
0.99918324,1
0.9970637,1
0.9953182,1
0.9989563,1
0.73264754,1
0.99783206,1
0.99830365,1
0.8957741,1
0.99720657,1
0.9958216,1
0.99832416,1
0.99949,1
0.9926288,1
0.97142315,1
0.98831344,1
0.999634,1
0.96550417,1
0.99613404,1
0.9995553,1
0.99752444,1
0.9820435,1
0.99543047,1
0.99784905,1
0.9465409,1
0.997431,1
0.9993057,1
0.98145723,1
0.98526967,1
0.999293,1
0.81216395,1
0.99488115,1
0.99914324,1
0.99892235,1
0.9979794,1
0.99800897,1
0.93277,1
0.9919977,1
0.9962094,1
0.9877466,1
0.9983638,1
0.86692476,1
0.9905014,1
0.97120786,1
0.99928117,1
0.9968828,1
0.98234403,1
0.99693465,1
0.99723244,1
0.8692219,1
0.9995246,1
0.9972631,1
0.9894731,1
0.99605083,1
0.9933553,1
0.9987979,1
0.99250025,1
0.9949166,1
0.9939395,1
0.9971485,1
0.9907125,1
0.9995769,1
0.9987352,1
0.97885954,1
0.99837065,1
0.99856496,1
0.99503195,1
0.99604714,1
0.9961424,1
0.99234724,1
0.9930444,1
0.9226389,1
0.9974212,1
0.9968663,1
0.9919857,1
0.8691557,1
0.9957243,1
0.9742706,1
0.9374218,1
0.977509,1
0.9957309,1
0.99888635,1
0.98294926,1
0.99797356,1
0.6982347,1
0.9921232,1
0.98375016,1
0.99900585,1
0.99960876,1
0.99736685,1
0.99481833,1
0.9930207,1
0.9473145,1
0.9988703,1
0.9828067,1
0.98372555,1
0.9926812,1
0.99433744,1
0.99299556,1
0.99798965,1
0.9965029,1
0.98377234,1
0.9984582,1
0.999223,1
0.9984624,1
0.98099923,1
0.92958236,1
0.99664354,1
0.99902624,1
0.9939883,1
0.9895105,1
0.99929523,1
0.98760843,1
0.7236781,1
0.99861854,1
0.9929249,1
0.94820905,1
0.9937551,1
0.7519277,1
0.9530746,1
0.99486077,1
0.83564734,1
0.9983898,1
0.998675,1
0.87116706,1
0.99939597,1
0.99897003,1
0.990458,1
0.7836251,1
0.9985402,1
0.99904114,1
0.93515986,1
0.9995421,1
0.9975694,1
0.4951887,1
